Date,Time,Site,Device,Power,Volts,Energy,Frequency,Temperature
1/3/2020,0:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,0:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,0:30:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,0:45:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,1:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,1:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,1:30:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,1:45:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,2:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,2:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,2:30:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,2:45:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,3:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,3:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,3:30:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,3:45:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,4:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,4:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,4:30:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,4:45:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,5:00:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,5:15:00,SolarA,Inverter1,0,0,575864.6308,0,0
1/3/2020,5:30:00,SolarA,Inverter1,0,146.2621238,575864.6308,31.9731322,13.97943342
1/3/2020,5:45:00,SolarA,Inverter1,0,238.3783893,575864.6308,50.66234888,22.2754112
1/3/2020,6:00:00,SolarA,Inverter1,0,238.4103265,575864.6308,51.42053726,23.22693714
1/3/2020,6:15:00,SolarA,Inverter1,65.14258265,238.6006523,575880.9164,50.97943636,23.80403705
1/3/2020,6:30:00,SolarA,Inverter1,426.6357665,239.6331112,575987.5754,50.9310664,24.22969353
1/3/2020,6:45:00,SolarA,Inverter1,1331.405977,237.6277393,576320.4269,51.16772304,25.79669133
1/3/2020,7:00:00,SolarA,Inverter1,2287.11525,239.2216826,576892.2057,51.38260051,26.89532901
1/3/2020,7:15:00,SolarA,Inverter1,3420.62681,238.8453819,577747.3624,50.48875157,29.1273558
1/3/2020,7:30:00,SolarA,Inverter1,4518.686405,237.3225016,578877.034,50.66385052,31.24006843
1/3/2020,7:45:00,SolarA,Inverter1,5808.361246,238.7852757,580329.1243,51.31710876,33.12288184
1/3/2020,8:00:00,SolarA,Inverter1,6914.581757,238.2981771,582057.7697,51.02239366,35.17357653
1/3/2020,8:15:00,SolarA,Inverter1,8214.776417,240.2152877,584111.4639,51.80520369,36.47024399
1/3/2020,8:30:00,SolarA,Inverter1,9180.721592,240.0497516,586406.6443,51.57235096,39.85635248
1/3/2020,8:45:00,SolarA,Inverter1,10061.18559,239.5574105,588921.9406,51.05045242,42.3126723
1/3/2020,9:00:00,SolarA,Inverter1,11047.82134,239.6805703,591683.896,51.47344851,45.00181391
1/3/2020,9:15:00,SolarA,Inverter1,11715.27721,238.8887487,594612.7153,50.26001602,47.333766
1/3/2020,9:30:00,SolarA,Inverter1,12655.95525,239.2141735,597776.7041,51.43145856,49.55511676
1/3/2020,9:45:00,SolarA,Inverter1,13307.66221,238.780253,601103.6197,50.91304936,51.39952206
1/3/2020,10:00:00,SolarA,Inverter1,13973.43795,239.6765509,604596.9791,51.51837244,53.94741807
1/3/2020,10:15:00,SolarA,Inverter1,14749.56153,241.2590385,608284.3695,51.43616547,56.4335682
1/3/2020,10:30:00,SolarA,Inverter1,15438.5322,240.4451696,612144.0026,50.91634869,58.684776
1/3/2020,10:45:00,SolarA,Inverter1,15909.26474,240.5121227,616121.3188,50.56166674,60.57427001
1/3/2020,11:00:00,SolarA,Inverter1,16334.27313,240.5405303,620204.887,50.90858811,61.67115161
1/3/2020,11:15:00,SolarA,Inverter1,16685.82187,239.5907873,624376.3425,50.92962725,62.46974037
1/3/2020,11:30:00,SolarA,Inverter1,17060.70758,240.211339,628641.5194,51.53941788,63.56585623
1/3/2020,11:45:00,SolarA,Inverter1,17396.1889,240.6089115,632990.5666,50.64911458,63.91770708
1/3/2020,12:00:00,SolarA,Inverter1,17680.79575,239.9139993,637410.7656,51.50608697,64.62747591
1/3/2020,12:15:00,SolarA,Inverter1,18001.06245,239.3557908,641911.0312,51.472549,63.92822826
1/3/2020,12:30:00,SolarA,Inverter1,18112.17041,239.5016528,646439.0738,51.0347444,64.65976482
1/3/2020,12:45:00,SolarA,Inverter1,18127.57027,241.3623186,650970.9663,51.05731749,64.19055097
1/3/2020,13:00:00,SolarA,Inverter1,17900.0513,240.5474476,655445.9792,51.00982663,64.41964384
1/3/2020,13:15:00,SolarA,Inverter1,17987.7159,240.3976272,659942.9081,51.50124116,63.95667239
1/3/2020,13:30:00,SolarA,Inverter1,17909.06037,241.7694371,664420.1732,50.88256839,64.38346099
1/3/2020,13:45:00,SolarA,Inverter1,17511.11738,245.2502744,668797.9526,50.86199088,65.32976672
1/3/2020,14:00:00,SolarA,Inverter1,17489.27109,242.1928907,673170.2704,50.99676255,65.49387844
1/3/2020,14:15:00,SolarA,Inverter1,17454.41955,241.834864,677533.8752,50.68450235,66.08818919
1/3/2020,14:30:00,SolarA,Inverter1,16809.55539,239.9643691,681736.2641,51.51727529,66.08729779
1/3/2020,14:45:00,SolarA,Inverter1,16267.31354,240.2812555,685803.0925,51.41196657,66.60125135
1/3/2020,15:00:00,SolarA,Inverter1,15843.29456,240.5618046,689763.9161,51.1534799,65.5399424
1/3/2020,15:15:00,SolarA,Inverter1,15427.06594,241.0537918,693620.6826,51.56104271,64.70125072
1/3/2020,15:30:00,SolarA,Inverter1,14726.84812,239.353097,697302.3946,50.82834262,63.9091712
1/3/2020,15:45:00,SolarA,Inverter1,14076.06543,239.6280225,700821.411,50.88313175,63.17484501
1/3/2020,16:00:00,SolarA,Inverter1,13540.47113,240.7614338,704206.5288,51.51360736,61.84833435
1/3/2020,16:15:00,SolarA,Inverter1,12844.96812,240.1944718,707417.7708,51.26274794,62.15052057
1/3/2020,16:30:00,SolarA,Inverter1,12022.03723,239.961479,710423.2801,50.78896137,59.24640763
1/3/2020,16:45:00,SolarA,Inverter1,11002.65768,240.61775,713173.9445,50.58979984,57.86818047
1/3/2020,17:00:00,SolarA,Inverter1,10121.86778,240.1346371,715704.4115,51.7215312,56.08259841
1/3/2020,17:15:00,SolarA,Inverter1,9189.392407,240.9374895,718001.7596,50.42672675,54.76402443
1/3/2020,17:30:00,SolarA,Inverter1,8047.928835,239.7102738,720013.7418,51.13061375,53.16701364
1/3/2020,17:45:00,SolarA,Inverter1,7004.015391,239.8941849,721764.7456,50.50290801,52.58849496
1/3/2020,18:00:00,SolarA,Inverter1,5623.660474,239.9208646,723170.6608,50.62418891,50.391411
1/3/2020,18:15:00,SolarA,Inverter1,4456.835664,240.6860132,724284.8697,50.85916823,48.65880354
1/3/2020,18:30:00,SolarA,Inverter1,3528.328265,240.5081532,725166.9517,50.52505517,46.92929474
1/3/2020,18:45:00,SolarA,Inverter1,2476.407121,238.9838483,725786.0535,51.57332164,44.64910602
1/3/2020,19:00:00,SolarA,Inverter1,1507.922942,238.9443605,726163.0343,51.45633011,42.4526164
1/3/2020,19:15:00,SolarA,Inverter1,747.2909654,239.0157832,726349.857,51.87025405,41.29199578
1/3/2020,19:30:00,SolarA,Inverter1,186.2422129,238.6504302,726396.4175,50.73460579,39.8150022
1/3/2020,19:45:00,SolarA,Inverter1,0,237.7250678,726396.4175,51.22718578,39.21150341
1/3/2020,20:00:00,SolarA,Inverter1,0,238.5216375,726396.4175,51.60459281,38.13280659
1/3/2020,20:15:00,SolarA,Inverter1,0,238.8332998,726396.4175,50.28001242,38.07434499
1/3/2020,20:30:00,SolarA,Inverter1,0,238.4045963,726396.4175,51.01495828,36.94745088
1/3/2020,20:45:00,SolarA,Inverter1,0,238.8460137,726396.4175,50.82352365,36.17463371
1/3/2020,21:00:00,SolarA,Inverter1,0,132.3588442,726396.4175,20.12089313,14.57779617
1/3/2020,21:15:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,21:30:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,21:45:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,22:00:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,22:15:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,22:30:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,22:45:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,23:00:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,23:15:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,23:30:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,23:45:00,SolarA,Inverter1,0,0,726396.4175,0,0
1/3/2020,0:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,0:15:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,0:30:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,0:45:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,1:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,1:15:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,1:30:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,1:45:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,2:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,2:15:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,2:30:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,2:45:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,3:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,3:15:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,3:30:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,3:45:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,4:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,4:15:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,4:30:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,4:45:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,5:00:00,SolarA,Inverter2,0,0,424621.9726,0,0
1/3/2020,5:15:00,SolarA,Inverter2,0,10.03242389,424621.9726,2.585233373,2.461005565
1/3/2020,5:30:00,SolarA,Inverter2,0,175.8085311,424621.9726,37.94563647,16.84243068
1/3/2020,5:45:00,SolarA,Inverter2,0,236.805278,424621.9726,50.52303448,22.48821984
1/3/2020,6:00:00,SolarA,Inverter2,0,236.8259377,424621.9726,51.22352254,22.21095487
1/3/2020,6:15:00,SolarA,Inverter2,10.96813945,236.7071081,424624.7146,50.4740733,24.01893803
1/3/2020,6:30:00,SolarA,Inverter2,131.154733,238.0855157,424657.5033,50.91897588,23.98009921
1/3/2020,6:45:00,SolarA,Inverter2,583.0145002,235.5059358,424803.2569,50.87679287,25.42878641
